date,price,var,qntd
06/05/2016,"10,08","2,75","45058100,0"
05/05/2016,"9,81","-1,11","64778000,0"
04/05/2016,"9,92","1,43","42950100,0"
03/05/2016,"9,78","-3,83","46522600,0"
02/05/2016,"10,17","-0,59","48220200,0"
29/04/2016,"10,23","0,0","53536700,0"
28/04/2016,"10,23","-0,2","57267400,0"
27/04/2016,"10,25","6,0","85924400,0"
26/04/2016,"9,67","3,64","40154000,0"
25/04/2016,"9,33","-4,31","56033300,0"
22/04/2016,"9,75","2,85","62882600,0"
20/04/2016,"9,48","-1,46","52943700,0"
19/04/2016,"9,62","4,11","56950600,0"
18/04/2016,"9,24","-4,64","88029600,0"
15/04/2016,"9,69","5,79","94638400,0"
14/04/2016,"9,16","-3,68","76807100,0"
13/04/2016,"9,51","5,32","105862500,0"
12/04/2016,"9,03","7,63","85896900,0"
11/04/2016,"8,39","1,57","60901800,0"
08/04/2016,"8,26","7,27","84076200,0"
07/04/2016,"7,7","1,58","46161900,0"
06/04/2016,"7,58","-3,19","70091000,0"
05/04/2016,"7,83","3,3","74976300,0"
04/04/2016,"7,58","-9,33","69861900,0"
01/04/2016,"8,36","0,12","73880500,0"
31/03/2016,"8,35","-1,07","69529900,0"
30/03/2016,"8,44","-0,59","89303100,0"
29/03/2016,"8,49","0,59","88569100,0"
28/03/2016,"8,44","8,07","69134300,0"
24/03/2016,"7,81","0,39","52097200,0"
23/03/2016,"7,78","-4,07","60657100,0"
22/03/2016,"8,11","0,62","83727900,0"
21/03/2016,"8,06","-0,74","65115600,0"
18/03/2016,"8,12","0,25","76508100,0"
17/03/2016,"8,1","12,03","117592500,0"
16/03/2016,"7,23","9,38","84796400,0"
15/03/2016,"6,61","-10,68","104078000,0"
14/03/2016,"7,4","-8,53","85124900,0"
11/03/2016,"8,09","1,76","92331300,0"
10/03/2016,"7,95","4,61","117672300,0"
09/03/2016,"7,6","1,74","84821900,0"
08/03/2016,"7,47","1,36","137169400,0"
07/03/2016,"7,37","2,08","85041400,0"
04/03/2016,"7,22","9,89","175922100,0"
03/03/2016,"6,57","16,28","186772500,0"
02/03/2016,"5,65","6,4","88545800,0"
01/03/2016,"5,31","3,31","80939200,0"
29/02/2016,"5,14","5,54","84165000,0"
26/02/2016,"4,87","-0,41","61396800,0"
25/02/2016,"4,89","0,41","70393700,0"
24/02/2016,"4,87","-1,02","75039700,0"
23/02/2016,"4,92","-2,38","85037400,0"
22/02/2016,"5,04","13,0","80150300,0"
19/02/2016,"4,46","-2,83","56031000,0"
18/02/2016,"4,59","-1,92","65026900,0"
17/02/2016,"4,68","5,41","84473100,0"
16/02/2016,"4,44","-1,77","80343900,0"
15/02/2016,"4,52","1,57","28490400,0"
12/02/2016,"4,45","5,2","64027200,0"
11/02/2016,"4,23","-1,86","59451500,0"
10/02/2016,"4,31","-5,07","45747400,0"
05/02/2016,"4,54","-4,02","52704500,0"
04/02/2016,"4,73","5,35","91974200,0"
03/02/2016,"4,49","4,42","73786400,0"
02/02/2016,"4,3","-8,9","53610300,0"
01/02/2016,"4,72","-2,48","51910300,0"
29/01/2016,"4,84","5,22","93013900,0"
28/01/2016,"4,6","0,66","131960900,0"
27/01/2016,"4,57","8,81","79437900,0"
26/01/2016,"4,2","-4,76","71933300,0"
22/01/2016,"4,41","-2,0","100576600,0"
21/01/2016,"4,5","1,58","87455300,0"
20/01/2016,"4,43","-4,94","92914100,0"
19/01/2016,"4,66","-2,92","66529300,0"
18/01/2016,"4,8","-7,16","46407200,0"
15/01/2016,"5,17","-9,14","75571500,0"
14/01/2016,"5,69","7,97","76854200,0"
13/01/2016,"5,27","-4,7","70874300,0"
12/01/2016,"5,53","-9,2","81627800,0"
11/01/2016,"6,09","-2,87","51334000,0"
